Date,Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
1990-01-26,0.24,0.38,0.38,13.875,13.75,13.875,933200.0,5872.701,5.4,127.5,8.23,3170.4,19.19486534796438,-0.1387696003664635,14.80803026880506,-1.0,15.866064410847144,13.577685589152855,13.833333333333334,13.791666666666668,13.708333333333334,13.666666666666668,13.916666666666668,13.958333333333334,14.041666666666668
1990-01-29,0.24,0.38,0.38,13.9375,13.75,13.8125,876000.0,5872.701,5.4,127.5,8.23,3170.4,17.770254030746315,-0.1686369777894284,14.761103637537667,-0.9375,15.886963754513982,13.45991124548602,13.833333333333334,13.729166666666668,13.645833333333334,13.541666666666668,13.916666666666668,14.020833333333334,14.104166666666668
1990-01-30,0.24,0.38,0.38,13.8125,13.4375,13.5,546000.0,5872.701,5.4,127.5,8.23,3170.4,12.442562580459764,-0.1997362901494186,14.725109775222164,-1.3125,15.90855046092922,13.288324539070778,13.583333333333334,13.354166666666668,13.208333333333334,12.979166666666668,13.729166666666668,13.958333333333334,14.104166666666668
1990-01-31,0.24,0.38,0.38,13.5625,13.25,13.4375,1306800.0,5872.701,5.4,127.5,8.23,3170.4,11.637407438287184,-0.2305193897077058,14.642775532372974,-1.125,15.901126168112858,13.130123831887142,13.416666666666666,13.270833333333332,13.104166666666666,12.958333333333332,13.583333333333332,13.729166666666666,13.895833333333332
1990-02-01,0.24,0.38,0.38,14.1875,13.40625,14.125,2081200.0,5872.701,5.3,128.0,8.24,3170.5,51.48420792133248,-0.2479965309753567,14.5949207300826,-0.4375,15.787220519542416,13.119029480457584,13.90625,13.625,13.125,12.84375,14.40625,14.6875,15.1875
1990-02-02,0.15,0.37,0.48,14.375,14.0625,14.3125,1184400.0,5872.701,5.3,128.0,8.24,3170.5,57.51333118951293,-0.2526608874907428,14.580808272579992,-0.125,15.675119005489014,13.131130994510984,14.25,14.125,13.9375,13.8125,14.4375,14.5625,14.75
1990-02-05,0.15,0.37,0.48,14.625,14.375,14.5625,703200.0,5872.701,5.3,128.0,8.24,3170.5,64.33248561575198,-0.2444854562130409,14.580280755236505,0.5625,15.55309499720451,13.17190500279549,14.520833333333334,14.416666666666668,14.270833333333334,14.166666666666668,14.666666666666668,14.770833333333334,14.916666666666668
1990-02-06,0.15,0.37,0.48,14.8125,14.5,14.8125,537600.0,5872.701,5.3,128.0,8.24,3170.5,69.90574599191117,-0.2241450285138567,14.585285769267776,0.9375,15.432497797058549,13.230002202941456,14.708333333333334,14.604166666666668,14.395833333333334,14.291666666666668,14.916666666666668,15.020833333333334,15.229166666666668
1990-02-07,0.15,0.37,0.48,14.9375,14.625,14.84375,582000.0,5872.701,5.3,128.0,8.24,3170.5,70.56902918968575,-0.1962366482053497,14.59117901132998,1.03125,15.322391596626057,13.286983403373943,14.802083333333334,14.666666666666668,14.489583333333334,14.354166666666668,14.979166666666668,15.114583333333334,15.291666666666668
1990-02-08,0.15,0.37,0.48,15.0,14.75,14.84375,1041200.0,5872.701,5.3,128.0,8.24,3170.5,70.56902918968575,-0.164600562213257,14.601077865273428,0.9375,15.244854060705215,13.327020939294783,14.864583333333334,14.729166666666668,14.614583333333334,14.479166666666668,14.979166666666668,15.114583333333334,15.229166666666668
1990-02-09,0.19,0.3,0.51,14.875,14.75,14.78125,2251600.0,5872.701,5.3,128.0,8.24,3170.5,66.65712847640994,-0.1329084314408083,14.61515502463738,0.90625,15.22889250421214,13.33360749578786,14.802083333333334,14.729166666666668,14.677083333333334,14.604166666666668,14.854166666666668,14.927083333333334,14.979166666666668
1990-02-12,0.19,0.3,0.51,14.75,14.3125,14.3125,1311200.0,5872.701,5.3,128.0,8.24,3170.5,45.04729002003643,-0.1100182340284226,14.601983706835894,0.5,15.18130714586483,13.33744285413517,14.458333333333334,14.166666666666668,14.020833333333334,13.729166666666668,14.604166666666668,14.895833333333334,15.041666666666668
1990-02-13,0.19,0.3,0.51,14.34375,13.875,14.15625,2006400.0,5872.701,5.3,128.0,8.24,3170.5,40.05307296512453,-0.0960869835800797,14.574154131243857,0.65625,15.111579179518696,13.341545820481304,14.125,13.90625,13.65625,13.4375,14.375,14.59375,14.84375
