,Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3
19,2012-08-16,22.303333282470703,20.62333297729492,22.166667938232425,1115400.0,16319.541,8.1,229.918,0.13,10069.0,75.67849676563839,0.5582499539650341,18.51358566152188,3.800001144409187,21.87334177123531,16.829657915959515,21.697778065999348,21.092222849527992,20.017777760823563,19.412222544352208,22.772223154703777,23.377778371175133,24.452223459879562
20,2012-08-17,22.833332061767575,21.61333274841309,22.43000030517578,1153800.0,16319.541,8.1,229.918,0.13,10069.0,77.10145170866846,0.6341918319432929,18.620098624923873,4.166667938232422,22.335790536491356,16.839209272773783,22.292221705118816,21.751111348470058,21.07222239176433,20.531112035115573,22.971110661824543,23.5122210184733,24.191109975179028
21,2012-08-20,22.38333320617676,21.656667709350582,21.82333374023437,810000.0,16319.541,8.1,229.918,0.13,10069.0,66.72429339002738,0.7021137811443222,18.6801113565017,3.563333511352532,22.493591493413383,17.146741682245796,21.954444885253906,21.52555656433105,21.227779388427727,20.798891067504872,22.25222206115723,22.681110382080085,22.97888755798341
22,2012-08-21,22.143333435058597,21.09333229064941,21.440000534057617,742800.0,16319.541,8.1,229.918,0.13,10069.0,60.76188882247705,0.7537322967960782,18.726727353415757,2.5066680908203125,22.65820615087478,17.27612707819016,21.558888753255207,20.974444071451817,20.50888760884602,19.92444292704263,22.024445215861004,22.608889897664394,23.07444636027019
23,2012-08-22,21.72333335876465,21.040000915527344,21.083332061767575,373800.0,16319.541,8.1,229.918,0.13,10069.0,55.443006107294266,0.7850178627296192,18.746589292352603,0.7733325958251918,22.77034732586499,17.307319147523685,21.282222112019856,20.841110865275063,20.59888966878255,20.157778422037758,21.524443308512367,21.96555455525716,22.207775751749672
24,2012-08-23,21.62666702270508,20.833332061767575,21.3799991607666,645900.0,16319.541,8.1,229.918,0.13,10069.0,58.89622000889211,0.8048630244267685,18.784390022045883,0.9366664886474609,22.905779365784614,17.313887115233452,21.279999415079754,20.933331807454426,20.486664454142247,20.13999684651692,21.726666768391933,22.07333437601726,22.52000172932944
25,2012-08-24,21.92333221435547,21.083332061767575,21.59000015258789,608700.0,16319.541,8.1,229.918,0.13,10069.0,61.34321562050462,0.8180132437519065,18.821836544880988,1.1499996185302734,23.05866516675098,17.420001329525878,21.53222147623698,21.141110738118492,20.692221323649086,20.301110585530598,21.981110890706386,22.372221628824875,22.82111104329428
26,2012-08-27,21.946666717529297,20.87333297729492,21.229999542236328,531000.0,16319.541,8.1,229.918,0.13,10069.0,54.880709819743316,0.818669829543155,18.849552756738266,0.32333183288574574,23.086409327335517,17.68192391698821,21.349999745686848,20.7533327738444,20.27666600545247,19.67999903361002,21.826666514078777,22.423333485921226,22.900000254313156
27,2012-08-28,21.46999931335449,20.96999931335449,21.299999237060547,312600.0,16319.541,8.1,229.918,0.13,10069.0,55.92252793112146,0.81071211867163,18.866044061661025,1.3666667938232422,23.15175986683561,17.84190659129427,21.24666595458984,21.02333259582519,20.74666595458984,20.52333259582519,21.52333259582519,21.74666595458984,22.02333259582519
28,2012-08-29,21.700000762939453,21.03333282470703,21.57666778564453,486000.0,16319.541,8.1,229.918,0.13,10069.0,60.12182388350319,0.8003385980888762,18.894111702218474,0.6666679382324219,23.198422268205853,18.080244228071003,21.43666712443034,21.173333485921226,20.769999186197918,20.506665547688804,21.840001424153648,22.10333506266276,22.50666936238607
29,2012-08-30,22.22333335876465,21.09000015258789,21.143333435058597,689700.0,16319.541,8.1,229.918,0.13,10069.0,51.290809538265826,0.7802569618380325,18.92668468340776,-1.0233345031738281,23.109236287392893,18.4470968730075,21.48555564880371,20.747777938842773,20.352222442626953,19.614444732666016,21.88111114501953,22.61888885498047,23.01444435119629
30,2012-08-31,21.52666664123535,21.03333282470703,21.459999084472656,276900.0,16319.541,8.1,229.918,0.13,10069.0,56.65872724123848,0.7584170313629263,18.94132866950549,-0.970001220703125,22.961052791134378,18.91494704101894,21.339999516805012,21.153332392374672,20.84666570027669,20.659998575846352,21.646666208902992,21.833333333333332,22.140000025431313
31,2012-09-01,21.52666664123535,21.03333282470703,21.459999084472656,276900.0,16319.541,7.8,231.015,0.14,10165.2,56.65872724123848,0.7348913355496827,18.9558043276353,-0.3633346557617152,22.689379936251996,19.506619781460408,21.339999516805012,21.153332392374672,20.84666570027669,20.659998575846352,21.646666208902992,21.833333333333332,22.140000025431313
32,2012-09-04,23.426666259765625,21.299999237060547,23.40333366394043,2303400.0,16319.541,7.8,231.015,0.14,10165.2,77.19365211817725,0.7408720927425735,19.158736035707555,1.9633331298828125,22.888196982131113,19.754802857651605,22.709999720255535,21.993333180745445,20.583332697550457,19.866666158040367,24.120000203450523,24.836666742960613,26.2466672261556
33,2012-09-05,24.203332901000977,23.040000915527344,23.333332061767575,1419000.0,16319.541,7.8,231.015,0.14,10165.2,75.70287694873805,0.762227969829021,19.272871195607117,2.25,23.203280794299953,19.742052305065283,23.5255552927653,22.847777684529625,22.362223307291668,21.684445699055992,24.011109670003258,24.688887278238933,25.17444165547689
