Bullish,Neutral,Bearish,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply,RSI,MACD_Signal,VWAP,Momentum,Bollinger_Upper,Bollinger_Lower,P,S1,S2,S3,R1,R2,R3,Next_Higher
0.24,0.38,0.38,8.29507827758789,8.108672142028809,8.108672142028809,2970930.0,5872.701,5.4,127.5,8.23,3170.4,20.12507877006729,-0.0911874184102201,8.732319059239252,-0.5902862548828125,9.314869051746951,8.154503506846797,8.170807520548502,8.046536763509113,7.98440138498942,7.860130627950031,8.232942899068195,8.357213656107584,8.419349034627277,1
0.24,0.38,0.38,8.264010429382324,8.139739990234375,8.170806884765625,1972305.0,5872.701,5.4,127.5,8.23,3170.4,26.314214730524228,-0.1086655937522943,8.71428999980819,-0.4038810729980469,9.326171722307132,8.07174507151611,8.191519101460775,8.119027773539226,8.067248662312826,7.994757334391277,8.243298212687176,8.315789540608725,8.367568651835125,0
0.24,0.38,0.38,8.264010429382324,8.046536445617676,8.046536445617676,3539849.0,5872.701,5.4,127.5,8.23,3170.4,22.32262357663687,-0.1266290349532824,8.677906178277091,-0.7766923904418945,9.333217627843704,7.974602787653125,8.119027773539225,7.974045117696125,7.901553789774576,7.756571133931477,8.191519101460774,8.336501757303873,8.408993085225422,1
0.24,0.38,0.38,8.41934871673584,8.139739990234375,8.326146125793457,3518927.0,5872.701,5.4,127.5,8.23,3170.4,44.269794940925856,-0.1392053357950566,8.659832122942985,-0.372812271118164,9.311153850016844,7.940744724812259,8.29507827758789,8.170807838439941,8.015469551086426,7.891199111938477,8.450416564941406,8.574687004089355,8.730025291442871,1
0.24,0.38,0.38,8.481484413146973,8.29507827758789,8.41934871673584,1629505.0,5872.701,5.3,128.0,8.24,3170.5,49.73235511153428,-0.1459415409319046,8.654243209738654,-0.2485418319702148,9.244227887264492,7.939321612247227,8.398637135823568,8.315789858500164,8.212231000264486,8.129383722941082,8.502195994059246,8.58504327138265,8.688602129618328,1
0.15,0.37,0.48,8.605754852294922,8.357213973999023,8.512552261352539,9368248.0,5872.701,5.3,128.0,8.24,3170.5,54.83990682585827,-0.1468445258060725,8.63754297146656,-0.186406135559082,9.19555748343824,7.941390434499993,8.491840362548828,8.377925872802734,8.24329948425293,8.129384994506836,8.626466751098633,8.740381240844727,8.875007629394531,0
0.15,0.37,0.48,8.512552261352539,8.388280868530273,8.481484413146973,2208080.0,5872.701,5.3,128.0,8.24,3170.5,52.77738407977133,-0.1442050062638073,8.63332479945821,0.0310678482055664,9.10421726497814,7.967488457830696,8.460772514343262,8.408992767333984,8.336501121520996,8.284721374511719,8.53326416015625,8.585043907165527,8.657535552978516,1
0.15,0.37,0.48,8.605754852294922,8.41934871673584,8.574687957763672,2166236.0,5872.701,5.3,128.0,8.24,3170.5,58.21702862296707,-0.1376678010608519,8.63181008071508,0.1864070892333984,9.02967108945352,7.995433147149262,8.53326384226481,8.4607728322347,8.346857706705729,8.274366696675617,8.647178967793781,8.719669977823893,8.833585103352863,1
0.15,0.37,0.48,8.730026245117188,8.512552261352539,8.667890548706055,3856094.0,5872.701,5.3,128.0,8.24,3170.5,63.11895875371269,-0.127229527425579,8.633396253688703,0.2485418319702148,8.980071098017834,8.01707217056737,8.636823018391928,8.543619791666668,8.41934903462728,8.32614580790202,8.761093775431316,8.854297002156576,8.978567759195965,1
0.15,0.37,0.48,8.885364532470703,8.636822700500488,8.698958396911621,4763386.0,5872.701,5.3,128.0,8.24,3170.5,64.71129440846173,-0.1141076800236039,8.636773269366959,0.4349479675292969,8.921589867690429,8.047592432877199,8.740381876627604,8.595399220784504,8.491840044657389,8.34685738881429,8.843941052754719,8.988923708597818,9.092482884724934,1
0.19,0.3,0.51,8.854296684265137,8.730026245117188,8.792160987854004,2464376.0,5872.701,5.3,128.0,8.24,3170.5,69.29948844091186,-0.098244622109451,8.640806620991853,0.6834888458251953,8.937712738065668,8.040789821596197,8.792161305745443,8.73002592722575,8.667890866597494,8.6057554880778,8.854296366373699,8.916431744893393,8.978566805521648,0
0.19,0.3,0.51,8.82322883605957,8.636822700500488,8.698958396911621,2012942.0,5872.701,5.3,128.0,8.24,3170.5,60.25928999023885,-0.0827580677979509,8.642013948447175,0.5281515121459961,8.952276284187437,8.038653319389223,8.719669977823893,8.616111119588215,8.53326384226481,8.429704984029133,8.802517255147297,8.906076113382975,8.988923390706379,1
0.19,0.3,0.51,8.730026245117188,8.574687957763672,8.730026245117188,2196412.0,5872.701,5.3,128.0,8.24,3170.5,62.157976989884766,-0.0676350376680055,8.643963610231364,0.6834897994995117,8.93527240643981,8.046336938042613,8.67824681599935,8.626467386881512,8.522908528645834,8.471129099527996,8.781805674235027,8.833585103352865,8.937143961588543,0
